Road_Name,Road_Type,County_Name
Machakos-Wote Road,secondary,Makueni
Mochongoi Road,secondary,Baringo
Kauria Close,residential,Nairobi
Kitui-Mutito Road,secondary,Kitui
Kitui-Mutito Road,secondary,Kitui
Kahawa Ridge Lane,residential,Nairobi
Mount Kenya Road,tertiary,Laikipia
K1 Main Road,residential,Nakuru
Poaching Trail,path,Nakuru
Kavuvwani Road,unclassified,Kitui
Kavuvwani Road,unclassified,Kitui
Ridgeways Springs,residential,Nairobi
Khawa Ridge,residential,Nairobi
Khawa Ridge,residential,Nairobi
Endebess Village Route,path,Trans Nzoia
Endebess Village Route,path,Trans Nzoia
Endebess Village Route,path,Trans Nzoia
Endebess Village Route,unclassified,Trans Nzoia
Endebess Village Route,path,Trans Nzoia
Endebess Village Route,path,Trans Nzoia
Biashara Road,residential,Nakuru
Endebess Village Route,unclassified,Trans Nzoia
Endebess Village Route,path,Trans Nzoia
Endebess Village Route,unclassified,Trans Nzoia
Endebess Village Route,unclassified,Trans Nzoia
Endebess Village Route,path,Trans Nzoia
Endebess Village Route,path,Trans Nzoia
Endebess Village Route,path,Trans Nzoia
K2 Service Road,residential,Nakuru
Kentalya Main Road,residential,Nakuru
K1 Service Road,residential,Nakuru
kiomo-kakongo road,unclassified,Kitui
Lodwar-Lokichogio Road,trunk,Turkana
Endebess Village Route,path,Trans Nzoia
Kangoletiang Road,tertiary,West Pokot
E1270,unclassified,Kakamega
Kapiyo Path,path,Siaya
Odhanyi Main Road,unclassified,Siaya
Hemmingway Street,residential,Kilifi
Water Stadium Road,residential,Kilifi
Mnarani Club,service,Kilifi
Maji Ya Chumvi,track,Kwale
Kwangamoru Main Road,unclassified,Busia
Siera Sub Road,path,Busia
Siera Connections,unclassified,Busia
Namasali Main Road,unclassified,Busia
Adan Awale Pan Road,unclassified,Wajir
Wajir-Moyale Road,secondary,Wajir
Wajir-Moyale Road,secondary,Wajir
Kapiyo C Path,path,Siaya
Magava Road,unclassified,Busia
Namasali B Path,unclassified,Busia
Nyasanda Village Path,residential,Siaya
Garden Road,residential,Siaya
Rurinja Road,residential,Nyandarua
Village Path,residential,Nyandarua
Namasali C Footpath,unclassified,Busia
Namasali C Footpath,unclassified,Busia
Ugunja Village Path,residential,Siaya
Village Path,path,Siaya
Nyasanda Village Path,residential,Siaya
Karuang'i Road,unclassified,Nyandarua
Kongoi Road,unclassified,Nakuru
Oprong Road A,footway,Busia
Oprong Road B,footway,Busia
Kamila - Katuda Road,tertiary,West Pokot
Mbaru Road,tertiary,West Pokot
Meru-Maua Road,secondary,Meru
Meru-Maua Road,secondary,Meru
Meru-Maua Road,secondary,Meru
Webuye Road,tertiary,Bungoma
Gibson Ngome Road,residential,Mombasa
Tom Mboya Street,residential,Meru
Rhapta Road,residential,Nairobi
Chief Ali Bin Naam Road,residential,Mombasa
Meru-Maua Road,secondary,Meru
E1270,unclassified,Kakamega
David Kayanda Road,residential,Mombasa
St Michael Road,residential,Mombasa
Bunyala Road,residential,Mombasa
Kipchoge Keino Street,residential,Mombasa
Obote Avenue,residential,Mombasa
Al Akida Road,residential,Mombasa
Machakos Street,residential,Mombasa
Obote Avenue,residential,Mombasa
Kabiyet_Cheptuiyet,unclassified,Nandi
Mwinyi Mpate Street,residential,Mombasa
Gatamaiyu Kagwe,unclassified,Kiambu
Kiratina Road,tertiary,Nakuru
Prison Road,residential,Nakuru
Kanyuiro Ngamba,unclassified,Kiambu
Kanyuero Bathi,unclassified,Kiambu
Kiwalwa Primary School,unclassified,Taita Taveta
Tungulu - Kilulunyi Primary School,unclassified,Taita Taveta
Olkuleu Village Path B,unclassified,Busia
KABATINI-ST JOHNS ROAD,residential,Nakuru
Aboloi Primary Road B,unclassified,Busia
Olkuleu Village Path D,service,Busia
Limuko road,residential,Nakuru
Kagwe Nyanduma,unclassified,Kiambu
Access road,residential,Nakuru
Abolio Village Path1,service,Busia
Aboloi Village Path3,service,Busia
Amaase Polytechnic Village Path 1,residential,Busia
Amaase Polytechnic Road B,unclassified,Busia
Aboloi Village Path 2,service,Busia
Kawalun Market Village Path 1,unclassified,Busia
Changara Market Village Path B,service,Busia
Olkuleu Road A,track,Busia
Olkuleu Road,unclassified,Busia
Amaase Polytechnic Village Path4,path,Busia
Amaase Polytechnic Village Path 5,unclassified,Busia
Amoni Borehole Village Path 1b,track,Busia
Amoni Borehole Village Path 1c,track,Busia
Amoni Borehole Village Path 2,path,Busia
Amoni Borehole Village Path3,path,Busia
Apgei Village Path 3,service,Busia
Apgei Village Path 2,unclassified,Busia
Amaase Polytechnic Village Path 6,unclassified,Busia
Amaase Polytechnic Village Path 7,service,Busia
Amaase Polytechnic Village Path 2,service,Busia
Amaase Polytechnic Village Path 3,service,Busia
Kwangamoru Primary Road B,unclassified,Busia
Kwangamoru Primary Road A,unclassified,Busia
Kwangamoru Primary Village 6,path,Busia
Kwangamoru Primary Village Path 4,path,Busia
Kwangamoru Primary Village Path 5,path,Busia
Kwangamoru Primary Village 9,unclassified,Busia
Kwangamoru Village Path 4,unclassified,Busia
Kwangamoru Primary Village Path 3,path,Busia
Katelenyang Primary Village Path 2,unclassified,Busia
Katelenyang Primary Village Path C,service,Busia
St. Michaels Apatit Secondary Village Path 5,unclassified,Busia
