country,provpcode,province,ctypcode,county,scpcode,subcounty,dhis2_id
Kenya,KEN_1_5,Rift Valley,KEN_2_23,Turkana,KEN_3_128,Turkana East Sub County,dr8gOvVAdiE
Kenya,KEN_1_7,Nyanza,KEN_2_43,Homa Bay,KEN_3_250,Ndhiwa Sub County,i2Y2fyNoFyZ
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_119,Kabete Sub County,lb5LzWiUX8Y
Kenya,KEN_1_3,Eastern,KEN_2_13,Tharaka-Nithi,KEN_3_62,Tharaka North Sub County,ZNXf7qiVh3t
Kenya,KEN_1_5,Rift Valley,KEN_2_27,Uasin Gishu,KEN_3_141,Soy Sub County,lmr1q6dTaso
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_286,Embakasi West Sub County,aCwUX5V42Zz
Kenya,KEN_1_4,Central,KEN_2_21,Muranga,KEN_3_107,Kigumo Sub County,tyfDsdZ1h3R
Kenya,KEN_1_4,Central,KEN_2_18,Nyandarua,KEN_3_89,Kinangop Sub County,RAnL5kBKMIt
Kenya,KEN_1_2,North Eastern,KEN_2_7,Garissa,,Hulugho Sub County,uyeif4CPqHt
Kenya,KEN_1_7,Nyanza,KEN_2_45,Kisii,KEN_3_265,Bomachoge Chache Sub County,YqYSkwmOtiR
Kenya,KEN_1_5,Rift Valley,KEN_2_23,Turkana,KEN_3_126,Loima Sub County,OZiGQn2R8kK
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_121,Limuru Sub County,xhVi71INcFs
Kenya,KEN_1_3,Eastern,KEN_2_11,Isiolo,KEN_3_49,Isiolo Sub County,I2LYLqKU6AW
Kenya,KEN_1_5,Rift Valley,KEN_2_32,Nakuru,KEN_3_167,Njoro  Sub County,gSJXzH1DM75
Kenya,KEN_1_5,Rift Valley,KEN_2_32,Nakuru,KEN_3_173,Rongai  Sub County,OK0hW8DFHq3
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_116,Githunguri Sub County,E7tkGikenbD
Kenya,KEN_1_7,Nyanza,KEN_2_44,Migori,KEN_3_256,Suna West Sub County,VtuwXD7O1O9
Kenya,KEN_1_6,Western,KEN_2_40,Busia,KEN_3_231,Bunyala Sub County,zI6vnsXresW
Kenya,KEN_1_5,Rift Valley,KEN_2_35,Kericho,KEN_3_190,Ainamoi Sub County,GshNTMZJ5r1
Kenya,KEN_1_5,Rift Valley,KEN_2_33,Narok,KEN_3_180,Narok East Sub County,gZM3NbHaugk
Kenya,KEN_1_7,Nyanza,KEN_2_44,Migori,KEN_3_260,Kuria East Sub County,THm2tCJa2ZQ
Kenya,KEN_1_1,Coast,KEN_2_2,Kwale,KEN_3_9,Matuga Sub County,wUNEDOnx9uB
Kenya,KEN_1_5,Rift Valley,KEN_2_28,Elgeyo-Marakwet,KEN_3_148,Marakwet West Sub County,fNCuk4Lpsnh
Kenya,KEN_1_3,Eastern,KEN_2_17,Makueni,KEN_3_84,Kilome Sub County,XAy1bjurhLU
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_55,Tigania East Sub County,U3lGZ71W9Te
Kenya,KEN_1_6,Western,KEN_2_38,Vihiga,KEN_3_214,Luanda Sub County,lkYdgjRSOoE
Kenya,KEN_1_1,Coast,KEN_2_3,Kilifi,KEN_3_11,Kilifi North Sub County,MEkEH8ZmcOU
Kenya,KEN_1_7,Nyanza,KEN_2_46,Nyamira,,Manga Sub County,f3AcdRzgTwz
Kenya,KEN_1_7,Nyanza,KEN_2_43,Homa Bay,KEN_3_251,Mbita Sub County,mCGytMcMf6y
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_56,Imenti North Sub County,BDxUGx86itV
Kenya,KEN_1_3,Eastern,KEN_2_15,Kitui,KEN_3_67,Mwingi North Sub County,KXM9VnhuLfP
Kenya,KEN_1_6,Western,KEN_2_37,Kakamega,KEN_3_205,Mumias East Sub County,FBteTV1eqB6
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_289,Starehe  Sub County,nKHlZyN0lt9
Kenya,KEN_1_5,Rift Valley,KEN_2_30,Baringo,KEN_3_157,Tiaty Sub County,st4v8xfqgJf
Kenya,KEN_1_5,Rift Valley,KEN_2_30,Baringo,,East Pokot Sub County,Mk4bMOSMRTB
Kenya,KEN_1_3,Eastern,KEN_2_16,Machakos,,Kalama Sub County,pJDgmrxMQTn
Kenya,KEN_1_3,Eastern,KEN_2_16,Machakos,KEN_3_81,Machakos Sub County,KXc4ez8OAFz
Kenya,KEN_1_2,North Eastern,KEN_2_9,Mandera,,Kutulo Sub County,iGFdm333PJ2
Kenya,KEN_1_2,North Eastern,KEN_2_9,Mandera,KEN_3_42,MANDERA SOUTH,qyhVIMG2rUw
Kenya,KEN_1_5,Rift Valley,KEN_2_27,Uasin Gishu,KEN_3_144,Ainabkoi Sub County,mYlMs4xTj82
